CHUNK,TIPO,PREGUNTA,RESPUESTA
Limpiar la superficie donde se desea pegar.,RECOMENDACIONES,,
plancha vapor pvi-az de la marca indurama del area de electro hogar para los electrodomesticos de la linea pequeños electrodomesticos de procedencia nacional al precio de 49.0 soles,PRODUCTO,,
cocina eme7685cfyx0 5 hornillas plateado de la marca mabe del area de electro hogar para los linea blanca de la linea cocinas de pie de procedencia nacional al precio de 1599.0 soles,PRODUCTO,,
Gancho múltiple de pared para colgar distintos accesorios. Soporta hasta 1 kg.,DESCRIPCION,,
"Limpiar periódicamente a fin de evitar la adhesión de sustancias que puedan deteriorarlo. Limpiar con limpiavidrios o solución de agua y jabón, aplicando con esponja o paño de poliseda o microfibra. Mantener el producto siempre seco.",RECOMENDACIONES,,
"altura del producto 13.50 cm, ancho del producto 9.70 cm, profundidad del producto 0.20 cm, volumen del producto 26.19, diametro del producto 0, ean 2000000150499, medidas 9.70x0.20x13.50, tipo de producto semilla, modelo calendula, color no aplica, material otros, garantía 1 año, procedencia nacional, país de origen perú",FICHA,,
Esta bonita y resistente maceta de gran calidad que te permitirán lucir y proteger tus plantas y flores.,DESCRIPCION,,
lavadero encastrar 950.510 1c 1e der de la marca teka del area de cocina para los lavaderos de la linea lavaderos de acero inoxidable de procedencia nacional al precio de 349.0 soles,PRODUCTO,,
"altura del producto 10.00 cm, ancho del producto 3.00 cm, profundidad del producto 14.00 cm, volumen del producto 420, diametro del producto 0, ean 799192161131, medidas 3.00x14.00x10.00, tipo de producto placa, modelo hidrobox, color blanco, material abs, garantía 1 año, procedencia nacional, país de origen china",FICHA,,
"Electrodo utilizado en estructuras generales y tuberías metálicas de acero al carbono. Para soldar en todas las posiciones. Revestimiento celulósico. Tipo de penetración alta, tipo de corriente a soldar AC y DC. Suelda metales mayor a 3 mm Y remoción de escoria normal.",CARACTERISTICAS,,
mezc ducha monoc con  salida vinkel de la marca orange del area de baños para los griferia de baño de la linea mezcl. ducha de procedencia importado al precio de 100.0 soles,PRODUCTO,,
"Leer las instrucciones de uso, antes de utilizar el producto. Para uso comercial.",RECOMENDACIONES,,
"Promart tiene lo mejor en iluminación decorativa, y te ofrece el hermoso Aplique. Ideal para iluminar de forma elegante tus los ambientes.",DESCRIPCION,,
"Leer las indicaciones de uso para realizar un uso correcto del producto y tener un buen desempeño. Mantener el producto en un lugar limpio y ventilado, lejos de la humedad.",RECOMENDACIONES,,
"Disco de lijas sobrepuestas de máximo rendimiento de abrasión. No genera escoria ni chispas, desbaste mas limpio.",CARACTERISTICAS,,
"tamaño del producto moderado, altura del producto 14.00 cm, ancho del producto 12.00 cm, profundidad del producto 3.00 cm, volumen del producto 504, ean 4042448104939, medidas 12.00x3.00x14.00, tipo de producto ganchos, modelo powerstrips ovalados, color gris, material acero inoxidable, garantía 2 años, procedencia nacional, país de origen alemania",FICHA,,
De primera calidad que cumplen con las más recientes especificaciones de la industria para los aceites de motores. Están diseñados para proporcionar un alto nivel de desempeño y protección bajo la mayoría de las condiciones de funcionamiento. Protección prolongada contra el desgaste del motor y la formación de depósitos. Protección del motor durante el arranque. Ayuda a combatir los lodos.,CARACTERISTICAS,,
Cumple con la Norma ISO 13006. Fácil mantenimiento y larga duración.,CARACTERISTICAS,,
La tecnología de doble flujo de aire unidireccional evita que la máscara se empañe. La estructura de silicona suave brinda una mayor comodidad y le permite igualar la presión. Correa de nailon elástica ajustable para conseguir la medida perfecta. El esnórquel con tecnología Dry Top se puede sumergir sin que se filtre agua.,CARACTERISTICAS,,
sarten ant stoneline rojo n22 de la marca record del area de cocina para los menaje de la linea sartenes de procedencia nacional al precio de 94.9 soles,PRODUCTO,,
Adhesivo epóxico de alta resistencia aplicable en superficies húmedas.,DESCRIPCION,,
"altura del producto 250.00 cm, ancho del producto 140.00 cm, profundidad del producto 0.50 cm, volumen del producto 17500, ean 2000001118986, medidas 140.00x0.50x250.00, tipo de producto cortina, modelo no aplica, color violeta, material poliéster, garantía 1 año, procedencia importado, país de origen china",FICHA,,
"altura del producto 10.00 cm, ancho del producto 2.00 cm, profundidad del producto 3.00 cm, volumen del producto 60, ean 25215505119, medidas 2.00x3.00x10.00, tipo de producto cargador, modelo 20w + usb c, color negro, material plástico, garantía 1 año, procedencia nacional, país de origen perú",FICHA,,
"altura del producto 18.00 cm, ancho del producto 7.00 cm, profundidad del producto 7.00 cm, volumen del producto 882, diametro del producto 7.00 cm, ean 7751278079849, medidas 7.00x7.00x18.00, tipo de producto tomatodo, modelo grande, color aleatorio, material polipropileno, garantía por defecto de fabricación, procedencia nacional, país de origen china",FICHA,,
"altura del producto 11.00 cm, ancho del producto 11.00 cm, profundidad del producto 24.10 cm, volumen del producto 2916.1, ean 2000001487778, medidas 11.00x24.10x11.00, tipo de producto zapatilla, modelo orca, color negro, material poliéster, garantía 06 meses por defectos de fabricación, procedencia importado, país de origen china",FICHA,,
curador d concreto 1gl membranil vista de la marca chema del area de pinturas para los productos para resanar de la linea impermeablizantes de procedencia nacional al precio de 32.5 soles,PRODUCTO,,
"altura del producto 31.00 cm, ancho del producto 41.00 cm, profundidad del producto 65.00 cm, volumen del producto 82615, diametro del producto 0, ean 2000001409305, medidas 41.00x65.00x31.00, tipo de producto carrito, modelo de oficina, color negro, material metal/mdp, garantía 06 meses por defectos de fabricación, procedencia importado, país de origen china",FICHA,,
Ideal para los pequeños de la casa y sus comidas del día.,RECOMENDACIONES,,
"El comedor de exterior Llanes cuenta con diseño muy elegante, especialmente pensado para espacios exteriores.Cuenta con una mesa y 6 sillas.",DESCRIPCION,,
Espigas de 4 mm de diámetro. Fácil de instalar. Resistente al fuego. Ideal para espacios domésticos.,DESCRIPCION,,
i&o-aplique solar 1.1w lc ip65 de la marca philips del area de iluminacion para los iluminacion exterior de la linea apliques de exterior de procedencia nacional al precio de 49.9 soles,PRODUCTO,,
"spray metalicos premium oro 318c de la marca abro del area de pinturas para los esmaltes, barnices y solventes de la linea sprays de procedencia nacional al precio de 26.9 soles",PRODUCTO,,
"altura del producto 27.50 cm, ancho del producto 44.60 cm, profundidad del producto 4.50 cm, volumen del producto 5519.25, diametro del producto 0, ean 2000001321850, medidas 44.60x4.50x27.50, tipo de producto monitor, modelo ds-d5019qe-b, color negro, material metal/plástico, garantía 1 año, procedencia importado, país de origen china",FICHA,,
respirador contra acido gas de la marca kamasa del area de herramientas para los seguridad industrial de la linea mascarillas y respiradores de procedencia nacional al precio de 29.1 soles,PRODUCTO,,
"Antes de instalar, verificar que la pared esté nivelada. Uso doméstico. Solo instalar en espacios interiores y en paredes de material noble o madera.",OBSERVACIONES,,
ventilador vaporizador 75w de la marca orange del area de electro hogar para los climatizacion de la linea ventiladores domesticos de procedencia importado al precio de 349.9 soles,PRODUCTO,,
Garantía de 2 años.,OBSERVACIONES,,
